File,Transcription,Category,mp3 file,,,,,,,,,,,,,,
31,I am sorry to announce that the,Apology,0031.mp3,,,,,,,,,,,,,,
85,We are sorry to announce that the,Apology,0085.mp3,,,,,,,,,,,,,,
1339,We are sorry to announce that,Apology,1339.mp3,,,,,,,,,,,,,,
1488,we apologise for the inconvenience caused,Apology,1488.mp3,,,,,,,,,,,,,,
1524,Apologies to customers...,Apology,1524.mp3,,,,,,,,,,,,,,
1529,I am sorry to announce that the,Apology,1529.mp3,,,,,,,,,,,,,,
1700,We are sorry to announce that the,Apology,1700.mp3,,,,,,,,,,,,,,
1803,we apologise for the inconvenience caused by,Apology,1803.mp3,,,,,,,,,,,,,,
29,will be in,Conjoining,0029.mp3,,,,,,,,,,,,,,
30,will be at,Conjoining,0030.mp3,,,,,,,,,,,,,,
48,Thank you,Conjoining,0048.mp3,,,,,,,,,,,,,,
52,The delayed,Conjoining,0052.mp3,,,,,,,,,,,,,,
67,delayed,Conjoining,0067.mp3,,,,,,,,,,,,,,
155,Attention please,Conjoining,0155.mp3,,,,,,,,,,,,,,
160,Thank you,Conjoining,0160.mp3,,,,,,,,,,,,,,
220,is available,Conjoining,0220.mp3,,,,,,,,,,,,,,
227,Should change here,Conjoining,0227.mp3,,,,,,,,,,,,,,
318,via,Conjoining,0318.mp3,,,,,,,,,,,,,,
329,delayed,Conjoining,0329.mp3,,,,,,,,,,,,,,
340,has been cancelled,Conjoining,0340.mp3,,,,,,,,,,,,,,
488,and will now depart at,Conjoining,0488.mp3,,,,,,,,,,,,,,
489,will not arrive until,Conjoining,0489.mp3,,,,,,,,,,,,,,
490,and will not arrive until,Conjoining,0490.mp3,,,,,,,,,,,,,,
491,please join the front,Conjoining,0491.mp3,,,,,,,,,,,,,,
492,coach,Conjoining,0492.mp3,,,,,,,,,,,,,,
493,of this train,Conjoining,0493.mp3,,,,,,,,,,,,,,
680,This train...,Conjoining,0680.mp3,,,,,,,,,,,,,,
723,...will not call at...,Conjoining,0723.mp3,,,,,,,,,,,,,,
736,...at... ,Conjoining,0736.mp3,,,,,,,,,,,,,,
1174,carriage.,Conjoining,1174.mp3,,,,,,,,,,,,,,
1175,carriages.,Conjoining,1175.mp3,,,,,,,,,,,,,,
1206,is the,Conjoining,1206.mp3,,,,,,,,,,,,,,
1211,is the,Conjoining,1211.mp3,,,,,,,,,,,,,,
1231,...is delayed.,Conjoining,1231.mp3,,,,,,,,,,,,,,
1244,between ,Conjoining,1244.mp3,,,,,,,,,,,,,,
1298,Customers for,Conjoining,1298.mp3,,,,,,,,,,,,,,
1374,is delayed...,Conjoining,1374.mp3,,,,,,,,,,,,,,
1391,Engineering work,Conjoining,1391.mp3,,,,,,,,,,,,,,
1392,Engineering work,Conjoining,1392.mp3,,,,,,,,,,,,,,
1393,The,Conjoining,1393.mp3,,,,,,,,,,,,,,
1394,The,Conjoining,1394.mp3,,,,,,,,,,,,,,
1429,is delayed by approximately...,Conjoining,1429.mp3,,,,,,,,,,,,,,
1527,may be subject to delay,Conjoining,1527.mp3,,,,,,,,,,,,,,
1528,due to,Conjoining,1528.mp3,,,,,,,,,,,,,,
1530,is being delayed,Conjoining,1530.mp3,,,,,,,,,,,,,,
1531,This is,Conjoining,1531.mp3,,,,,,,,,,,,,,
1533,has been cancelled,Conjoining,1533.mp3,,,,,,,,,,,,,,
1534,Please note that this train,Conjoining,1534.mp3,,,,,,,,,,,,,,
1547,The train now at...,Conjoining,1547.mp3,,,,,,,,,,,,,,
1549,...is the delayed...,Conjoining,1549.mp3,,,,,,,,,,,,,,
1552,...is the delayed...,Conjoining,1552.mp3,,,,,,,,,,,,,,
1577,Engineering works,Conjoining,1577.mp3,,,,,,,,,,,,,,
1644,Service to,Conjoining,1644.mp3,,,,,,,,,,,,,,
1650,Please note,Conjoining,1650.mp3,,,,,,,,,,,,,,
1676,Is the,Conjoining,1676.mp3,,,,,,,,,,,,,,
1677,Is the delayed,Conjoining,1677.mp3,,,,,,,,,,,,,,
1687,Please note,Conjoining,1687.mp3,,,,,,,,,,,,,,
1688,Thank you,Conjoining,1688.mp3,,,,,,,,,,,,,,
1704,is the,Conjoining,1704.mp3,,,,,,,,,,,,,,
1715,will be diverted to,Conjoining,1715.mp3,,,,,,,,,,,,,,
1731,will be at,Conjoining,1731.mp3,,,,,,,,,,,,,,
